waste_type,material_composition,recycling_potential,toxicity_level,management_strategy
3,0.1987156815341724,0.016587828927856152,81.01133946791808,0
1,0.005522117123602399,0.512093058299281,86.70723185801037,0
3,0.8154614284548342,0.22649577519793795,91.32405525564712,0
3,0.7068573438476171,0.6451727904094499,51.13423988609378,0
1,0.7290071680409873,0.17436642900499144,50.15162946871996,0
1,0.7712703466859457,0.690937738102466,79.82951789667752,0
3,0.07404465173409036,0.3867353463005374,64.99639307777652,0
2,0.3584657285442726,0.9367299887367345,70.19668772577033,0
3,0.11586905952512971,0.13752094414599325,79.57926694361011,0
3,0.8631034258755935,0.3410663510502585,89.00053418175663,0
3,0.6232981268275579,0.11347352124058907,33.79951568515358,0
3,0.3308980248526492,0.9246936182785628,37.5582952639944,0
1,0.06355835028602363,0.877339353380981,9.3981939840869,0
3,0.3109823217156622,0.2579416277151556,57.8280140996174,0
2,0.32518332202674705,0.659984046034179,3.5942273796742086,0
1,0.7296061783380641,0.8172222002012158,46.55980181324602,1
2,0.6375574713552131,0.5552008115994623,54.26446347075766,0
2,0.8872127425763265,0.5296505783560065,28.65412521282844,0
2,0.4722149251619493,0.24185229090045168,59.08332605690107,0
2,0.1195942459383017,0.09310276780589921,3.050024993904943,0
1,0.713244787222995,0.8972157579533268,3.7348188749214417,1
1,0.7607850486168974,0.9004180571633305,82.26005606596583,0
2,0.5612771975694962,0.6331014572732679,36.019064141126286,1
2,0.770967179954561,0.3390297910487007,12.706051265188478,0
1,0.49379559636439074,0.3492095746126609,52.224326005480435,0
1,0.5227328293819941,0.7259556788702394,76.99935530986109,0
1,0.42754101835854963,0.8971102599525771,21.582102749684317,0
3,0.02541912674409519,0.8870864242651173,62.28904758190003,0
3,0.10789142699330445,0.7798755458576239,8.5347464993768,0
3,0.03142918568673425,0.6420316461542878,5.16817211686077,0
2,0.6364104112637804,0.08413996499504883,53.1354631568148,0
3,0.3143559810763267,0.16162871409461377,54.06351216101065,0
2,0.5085706911647028,0.8985541885270792,63.742990149820656,0
2,0.907566473926093,0.6064290596595899,72.60913337226616,0
3,0.24929222914887494,0.009197051616629648,97.58520794625346,0
2,0.41038292303562973,0.1014715428660321,51.630034830119534,0
3,0.7555511385430487,0.6635017691080558,32.2956472941246,1
3,0.22879816549162246,0.005061583846218687,79.51861947687037,0
1,0.07697990982879299,0.16080805141749865,27.083225126207424,0
3,0.289751452913768,0.5487337893665861,43.89714207056361,0
1,0.16122128725400442,0.6918951976926933,7.845638134226595,0
3,0.9296976523425731,0.6519612595026005,2.535074341545751,1
3,0.808120379564417,0.22426930946055978,96.26484146779251,0
1,0.6334037565104235,0.7121792213475359,83.59801205122058,0
1,0.8714605901877177,0.23724908749680007,69.59742060936979,0
3,0.8036720768991145,0.3253996981592677,40.89529444142699,0
2,0.18657005888603584,0.7464914051180241,17.329432007084577,0
1,0.8925589984899778,0.6496328990472147,15.643704267108605,1
2,0.5393422419156507,0.8492234104941779,25.024289816459532,1
2,0.8074401551640625,0.6576128923003434,54.92266647061205,0
2,0.8960912999234932,0.5683086033354716,71.45959227000624,0
