co2_emissions,waste_production,gdp,population
218.5430534813131,436.27673662002866,39199.932439598815,64176312.268845215
477.8214378844623,399.62088660826294,17380.479823948463,46469952.89988512
379.3972738151323,258.538521252574,23865.587774795447,96485353.96153015
319.3963178886665,646.5400030913391,36531.22547431273,22678866.64743958
120.20838819909643,528.9617444577659,29283.573780979197,59197785.183895126
120.1975341512912,879.1308930916033,39542.84154539576,70320791.48403203
76.13762547568976,128.89862243385244,48448.316048914385,82730884.44519278
439.7792655987208,679.4811347996138,14661.8675086079,41290132.0123727
320.50175528444396,786.653990660405,38382.70865592244,69005268.85809067
368.63266000822045,783.5379122694764,19213.76622528458,31016945.667043995
59.263022433111104,897.4665703859725,26579.06909630277,44112133.143820204
486.45943347289744,756.1303685465447,11314.509031805594,89667085.98913652
424.59918836018977,935.0290554829267,15436.295291707956,95040853.32376447
145.55259980522428,399.3909398388023,22791.09156195599,72162917.34579921
131.82123524319528,552.8884750763888,23679.432211519397,38060837.186842315
132.53202943404523,112.6716969546016,45983.40865848383,82185721.20749174
186.90900933179196,106.26182857296209,39672.5163706606,3560841.090816598
286.140394234507,316.11395840636794,48887.318727481645,11171845.143402684
244.3752583889521,190.72647742517674,33962.860413409624,66475999.901160754
181.05311308911885,334.1902311421783,19668.54928365272,29833608.951735687
325.33380262507075,259.33896507555767,23106.201196865717,95187235.6216473
112.77223729341883,125.66802235478342,22793.436931678683,44170000.59713817
181.46509184084817,918.3737317654444,23059.77310653006,43507117.218528524
214.86282948216126,107.40081825000237,36918.56692447263,68129871.50890219
255.23149289766616,762.4739299033769,31232.31712361665,76989287.66831277
403.3291826268561,236.93309822756487,25416.967123465773,48080315.07438851
139.85320197126188,921.00665979964,15963.590749148665,22186089.26946069
281.4054972861252,903.5163456308973,10885.566517685837,77557555.62983654
316.5865559879191,688.5110317323316,18753.387103507703,32714776.21248913
70.90268572399897,705.0107348205446,14298.85615874725,18335966.160091903
323.39518335564725,104.80522777271969,41417.80123408958,63532378.80257631
126.73585565928119,986.3844095022419,14499.918312555415,9954913.03204469
79.27321684337578,890.0493432182329,38969.129492273445,97163914.83351944
476.99849176399994,905.5956031570828,25426.347591043304,63607329.176801555
484.53441488355173,693.3200833457847,12935.135589751038,98603656.57125382
413.7788066524075,410.30823578908286,42509.20197726343,34550448.92438497
187.07619612801682,904.2837841814327,33185.22280946453,97149310.9578494
93.95245130287273,362.3652353360731,19430.460514542923,15410662.525133735
357.9048619304706,606.4403890079825,45787.24697330672,5028782.462355817
248.06862218282058,189.75787510949414,11810.332554822058,4265421.985005653
104.91720568015047,929.7600671194751,18072.784327910515,47022166.689323485
272.8296095500716,226.693411994092,40081.87711223444,9217415.550380882
65.47483450184828,302.4071251573665,38375.11721239556,51704620.53259257
459.1941809354519,602.3207423153935,21570.867748979123,33422549.84738115
166.4509917200076,787.6837001916834,12480.995014111324,34227270.25493744
348.1350279592919,657.416175342669,44323.12288899775,63925290.65797181
190.26998424023492,308.92052152014054,22547.905522796103,17146702.6090104
284.0306095300149,100.8487382747413,17828.53659713061,76888783.66363338
296.01962570447586,781.4355222766953,30642.472894439084,58621061.05808484
133.18450498648718,986.6865933199844,46409.08797129789,91579518.25590359
486.31308249405134,828.9218082754813,11741.863113735013,37119224.72298481
398.80977051250153,514.1859563409538,40632.16352123551,98288784.21464543
472.7745237038851,913.3905352591959,32898.92911754835,58006937.024688296
452.67230769244196,468.862905806515,27017.964662072678,97366793.66256584
319.0549904649883,572.4406758191208,39763.2177642024,3679004.7506644176
464.84340576040256,529.4167906561149,48632.97697766529,73069655.9188264
89.82162592336377,502.86148539897243,19168.24844650764,81845530.90498088
138.19228808861533,797.6716923645151,15745.894602884786,6264155.38097227
