Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,22.7,82,18,3.21,7.6,86,90,5.3,0.3047
2017-01-02 01:00:00,22,82,17.4,3.4,7.92,88,94,5.7,0.3516
2017-01-02 02:00:00,21.7,82,17.1,3.81,8.41,87,93,6.4,0.3985
2017-01-02 03:00:00,21.7,85,17.8,3.7,8.26,90,97,6.4,0.4454
2017-01-02 04:00:00,22.4,88,19.5,3.85,8.5,81,91,6.6,0.4922
2017-01-02 05:00:00,22.8,90,20.4,3.59,8.12,77,86,6.5,0.49
2017-01-02 06:00:00,23.8,91,21.4,3.73,8,82,90,6.8,0.4386
2017-01-02 07:00:00,26.8,91,24.5,4.01,7.91,86,92,6.8,0.3872
2017-01-02 08:00:00,28.5,90,26,3.81,7.31,87,93,6.9,0.3358
2017-01-02 09:00:00,29.8,91,27.4,4.04,7.3,81,89,6.9,0.2844
2017-01-02 10:00:00,31.1,90,28.5,4.93,8.21,84,88,8.4,0.233
2017-01-02 11:00:00,32.8,89,29.9,4.3,7.85,91,97,8.4,0.1816
2017-01-02 12:00:00,34.5,86,30.8,4.3,7.07,93,98,7.8,0.1645
2017-01-02 13:00:00,34.8,87,31.2,4.1,7.53,89,95,7.7,0.1817
2017-01-02 14:00:00,34.9,86,31.2,3.91,7.1,93,100,7.1,0.1988
2017-01-02 15:00:00,34.1,89,31.2,3.52,6.61,83,93,6.9,0.216
2017-01-02 16:00:00,33.8,90,31.2,4.31,7.58,94,98,7.3,0.2331
2017-01-02 17:00:00,33.4,92,31.2,4.12,7.35,96,102,7.4,0.2503
2017-01-02 18:00:00,33.2,91,30.9,3.96,7.03,80,84,7.1,0.2477
2017-01-02 19:00:00,33.2,92,31.1,4.3,7.63,93,95,7.3,0.2255
2017-01-02 20:00:00,33.1,93,31.3,2.57,5.3,77,92,7.3,0.2033
2017-01-02 21:00:00,33,94,31.5,3.02,5.5,56,71,5.1,0.1811
2017-01-02 22:00:00,33,94,31.5,3.55,6.4,58,65,5.9,0.1589
2017-01-02 23:00:00,33,94,31.5,3.86,7.07,80,82,6.6,0.1366
2017-01-03 00:00:00,33.1,94,31.7,2.72,5.59,96,100,6.5,0.1144
2017-01-03 01:00:00,33,96,31.9,1.2,3.35,85,107,4.5,0.0922
2017-01-03 02:00:00,32.9,97,32.1,1.53,3.1,58,90,2.7,0.07
2017-01-03 03:00:00,32.9,97,32.2,1.34,2.46,27,63,2.7,0.0478
2017-01-03 04:00:00,32.7,98,32.1,1.94,2.82,348,6,3.3,0.0256
2017-01-03 05:00:00,32.4,98,32,2.4,4.23,358,7,4,0.0371
2017-01-03 06:00:00,32.3,99,32,1.5,2.72,356,6,4.3,0.0823
2017-01-03 07:00:00,32.1,99,31.8,2.38,3.98,338,348,3.9,0.1275
2017-01-03 08:00:00,31.9,99,31.6,2.51,4.43,331,342,4.2,0.1728
2017-01-03 09:00:00,32.1,98,31.6,3.04,5.26,316,321,5.4,0.218
2017-01-03 10:00:00,32.7,96,31.8,3.28,5.11,308,310,5.7,0.2633
2017-01-03 11:00:00,33.2,93,31.3,5.02,7.58,305,306,8.7,0.3085
2017-01-03 12:00:00,32.7,92,30.7,5.22,7.96,306,309,9.2,0.3753
2017-01-03 13:00:00,33.3,89,30.4,5.66,8.52,306,306,10.2,0.4637
2017-01-03 14:00:00,33,89,30.1,5.52,8.63,302,302,10.2,0.5521
2017-01-03 15:00:00,31.7,87,28.3,7.35,11.13,304,305,12.7,0.6405
2017-01-03 16:00:00,28.6,85,24.7,7.46,11.48,302,303,13.2,0.7288
2017-01-03 17:00:00,24.9,81,20,8.45,12.71,297,298,14.6,0.8172
2017-01-03 18:00:00,24.9,81,20,8.45,12.76,291,291,15.4,0.8647
2017-01-03 19:00:00,20.3,77,14.2,8.52,12.68,292,293,15.1,0.8712
2017-01-03 20:00:00,15.6,77,9.6,8.95,13.46,295,296,15.8,0.8777
2017-01-03 21:00:00,12.1,75,5.8,9.08,13.64,295,297,16.2,0.8842
2017-01-03 22:00:00,9.6,73,2.5,8.99,13.42,297,298,16.3,0.8907
2017-01-03 23:00:00,7.5,71,-0.1,9.58,14.1,299,299,17,0.8972
2017-01-04 00:00:00,6.1,70,-1.7,9.53,14.14,298,299,17.2,0.9037
2017-01-04 01:00:00,5.4,69,-2.5,9.21,13.78,297,298,17,0.9102
2017-01-04 02:00:00,5.1,69,-2.8,8.81,13.28,295,295,16.4,0.9167
2017-01-04 03:00:00,4.9,70,-2.7,8.15,12.67,293,294,15.8,0.9232
2017-01-04 04:00:00,4.8,70,-3,8.59,13.15,295,295,16.3,0.9297
2017-01-04 05:00:00,4.4,68,-3.9,8.72,13.1,295,296,16.5,0.9304
2017-01-04 06:00:00,4.9,70,-2.9,7.97,11.77,290,291,15.4,0.9254
2017-01-04 07:00:00,3.7,68,-4.4,8.36,12.48,291,292,14.9,0.9204
2017-01-04 08:00:00,2.7,67,-5.7,8.42,12.31,294,294,14.9,0.9153
2017-01-04 09:00:00,2.2,66,-6.7,8.29,11.91,293,294,15.2,0.9103
2017-01-04 10:00:00,2.4,64,-6.8,8.17,11.49,292,291,15,0.9052
2017-01-04 11:00:00,3.2,65,-6,8.1,11.35,288,288,15,0.9002
2017-01-04 12:00:00,4.3,64,-5.3,7.84,10.88,287,287,14.9,0.8776
2017-01-04 13:00:00,5.1,63,-4.9,7.43,10.37,287,287,14.5,0.8376
2017-01-04 14:00:00,5.3,62,-4.8,7.28,10.19,286,286,13.8,0.7976
2017-01-04 15:00:00,5.1,62,-5,6.96,10.1,286,286,13.4,0.7575
2017-01-04 16:00:00,4.2,64,-5.5,6.33,9.75,286,285,12.7,0.7175
2017-01-04 17:00:00,2.8,67,-5.7,6.1,9.99,288,288,11.4,0.6775
2017-01-04 18:00:00,2.5,66,-6.2,6.07,9.46,287,288,11.1,0.6407
2017-01-04 19:00:00,1.7,66,-6.9,5.95,9.52,287,289,10.9,0.6071
2017-01-04 20:00:00,0.5,66,-8.1,5.88,9.53,288,291,10.5,0.5736
2017-01-04 21:00:00,0.5,64,-8.8,6.05,8.96,292,294,10.9,0.54
2017-01-04 22:00:00,0.3,63,-9.4,5.87,8.46,293,294,10.9,0.5065
